influencer,image_path,tipo_post,visualizacoes,visualizacoes_fonte,interacoes,interacoes_fonte,dedupe_key,status
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.24.jpeg,desconhecido,,,,,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.25 (1).jpeg,stories,,,,,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.25 (2).jpeg,stories,794,visualizacoes,6,interacoes,CAMILA|stories|794|6,candidate
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.25 (3).jpeg,stories,658,contas_alcancadas,,,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.25.jpeg,stories,898,visualizacoes,21,interacoes,CAMILA|stories|898|21,candidate
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.26 (1).jpeg,stories,743,visualizacoes,12,interacoes,CAMILA|stories|743|12,candidate
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.26 (2).jpeg,stories,603,contas_alcancadas,,,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.26 (3).jpeg,stories,,,12,soma_componentes,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.26.jpeg,stories,,,6,soma_componentes,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.27 (1).jpeg,stories,560,contas_alcancadas,,,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.27 (2).jpeg,stories,,,6,soma_componentes,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.27 (3).jpeg,stories,657,visualizacoes,9,interacoes,CAMILA|stories|657|9,candidate
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.27 (4).jpeg,stories,546,contas_alcancadas,,,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.27 (5).jpeg,stories,,,9,soma_componentes,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.27 (6).jpeg,stories,575,visualizacoes,7,interacoes,CAMILA|stories|575|7,candidate
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.27.jpeg,stories,684,visualizacoes,6,interacoes,CAMILA|stories|684|6,candidate
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.28 (1).jpeg,stories,575,visualizacoes,7,interacoes,CAMILA|stories|575|7,ignored_metric_duplicate
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.28 (2).jpeg,stories,513,contas_alcancadas,,,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.28 (3).jpeg,stories,525,visualizacoes,6,interacoes,CAMILA|stories|525|6,candidate
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.28 (4).jpeg,stories,471,contas_alcancadas,,,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.28 (5).jpeg,stories,,,6,soma_componentes,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.28.jpeg,stories,,,7,soma_componentes,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.29 (1).jpeg,stories,390,contas_alcancadas,,,,ignored_missing_metrics
CAMILA,CAMILA/WhatsApp Image 2026-04-06 at 19.19.29.jpeg,stories,487,visualizacoes,6,interacoes,CAMILA|stories|487|6,candidate
GUSTAVO,GUSTAVO/WhatsApp Image 2026-04-07 at 09.02.38 (1).jpeg,feed,6209,visualizacoes,71,interacoes,GUSTAVO|feed|6209|71,candidate
GUSTAVO,GUSTAVO/WhatsApp Image 2026-04-07 at 09.02.38.jpeg,feed,2070,visualizacoes,30,interacoes,GUSTAVO|feed|2070|30,candidate
GUSTAVO,GUSTAVO/WhatsApp Image 2026-04-07 at 09.02.39 (1).jpeg,feed,3106,visualizacoes,88,interacoes,GUSTAVO|feed|3106|88,candidate
GUSTAVO,GUSTAVO/WhatsApp Image 2026-04-07 at 09.02.39.jpeg,desconhecido,,,,,,ignored_missing_metrics
GUSTAVO,GUSTAVO/WhatsApp Image 2026-04-07 at 09.05.24 (1).jpeg,stories,234,visualizacoes,5,interacoes,GUSTAVO|stories|234|5,candidate
GUSTAVO,GUSTAVO/WhatsApp Image 2026-04-07 at 09.05.24 (2).jpeg,stories,568,visualizacoes,1,interacoes,GUSTAVO|stories|568|1,candidate
GUSTAVO,GUSTAVO/WhatsApp Image 2026-04-07 at 09.05.24 (3).jpeg,stories,612,visualizacoes,15,interacoes,GUSTAVO|stories|612|15,candidate
GUSTAVO,GUSTAVO/WhatsApp Image 2026-04-07 at 09.05.24.jpeg,stories,588,visualizacoes,4,interacoes,GUSTAVO|stories|588|4,candidate
GUSTAVO,GUSTAVO/WhatsApp Image 2026-04-07 at 09.05.25 (1).jpeg,stories,203,visualizacoes,4,interacoes,GUSTAVO|stories|203|4,candidate
GUSTAVO,GUSTAVO/WhatsApp Image 2026-04-07 at 09.05.25 (2).jpeg,stories,138,visualizacoes,2,interacoes,GUSTAVO|stories|138|2,candidate
GUSTAVO,GUSTAVO/WhatsApp Image 2026-04-07 at 09.05.25.jpeg,stories,216,visualizacoes,6,interacoes,GUSTAVO|stories|216|6,candidate
Luiza,Luiza/OVERDELIVERY /01b37b24-1485-4f0a-ab83-3c05f4de9e3e.jpg,stories,,,107,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/OVERDELIVERY /14c12b59-fbe3-489f-afa2-7e0a5f4d284f.jpg,stories,8031,visualizacoes,137,interacoes,Luiza|stories|8031|137,candidate
Luiza,Luiza/OVERDELIVERY /8909d6f7-1495-411e-862d-a04e9fc47ea5.jpg,stories,8183,visualizacoes,204,interacoes,Luiza|stories|8183|204,candidate
Luiza,Luiza/OVERDELIVERY /b1a3b4b3-043f-4371-a543-d95c05fc6d5a.jpg,stories,7357,visualizacoes,102,interacoes,Luiza|stories|7357|102,candidate
Luiza,Luiza/OVERDELIVERY /b22a5db7-e48b-406b-ba26-30ddb4beb076.jpg,stories,,,219,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/OVERDELIVERY /c1799477-bb5a-440d-81b2-1dc1de3d9c52.jpg,stories,7422,visualizacoes,219,interacoes,Luiza|stories|7422|219,candidate
Luiza,Luiza/OVERDELIVERY /d6bc0644-c615-45b7-91bc-3873664bb1d4.jpg,stories,,,116,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/OVERDELIVERY /e061ac85-16ff-4f63-8eda-5faaba512a0c.jpg,stories,,,204,soma_componentes,,ignored_missing_metrics
